 INFO 2022-01-21 14:44:29,853 [0x00003e48] [mcuServer] Transform time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 2
 INFO 2022-01-21 14:44:29,855 [0x00003e48] [mcuServer] Current received FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5pointcloud#0 is 15.000000
 INFO 2022-01-21 14:44:29,856 [0x00003e48] [mcuServer] Current transform FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 15.000000
 INFO 2022-01-21 14:44:29,857 [0x00003e48] [mcuServer] Current decoded FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 15.000000
 INFO 2022-01-21 14:44:30,730 [0x00004818] [mcuServer] New Player
 INFO 2022-01-21 14:44:30,734 [0x00004818] [mcuServer] Player 503fa433-54df-4fa3-9734-1c4b66516615 created succesfully
 INFO 2022-01-21 14:44:30,749 [0x00004818] [mcuServer] Player started 503fa433-54df-4fa3-9734-1c4b66516615
 INFO 2022-01-21 14:44:30,749 [0x00004818] [mcuServer] New Player DONE
 INFO 2022-01-21 14:44:30,819 [0x0000452c] [mcuServer] PCDecoder: cwipc_new_decoder created successfully!

 INFO 2022-01-21 14:44:30,866 [0x000026e4] [mcuServer] Current fusion FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 0.000000
 INFO 2022-01-21 14:44:30,866 [0x00003e48] [mcuServer] Decoding time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 39
 INFO 2022-01-21 14:44:30,866 [0x000026e4] [mcuServer] Current sent FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 0.000000
 INFO 2022-01-21 14:44:30,871 [0x00003e48] [mcuServer] Decoded pointcloud from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 has latency 2032
 INFO 2022-01-21 14:44:30,874 [0x000026e4] [mcuServer] Current fusion FPS from 503fa433-54df-4fa3-9734-1c4b66516615 is 0.000000
 INFO 2022-01-21 14:44:30,876 [0x00003e48] [mcuServer] Transform time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 2
 INFO 2022-01-21 14:44:30,879 [0x000026e4] [mcuServer] Current sent FPS from 503fa433-54df-4fa3-9734-1c4b66516615 is 0.000000
 INFO 2022-01-21 14:44:30,881 [0x00003e48] [mcuServer] Current received FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5pointcloud#0 is 14.763780
 INFO 2022-01-21 14:44:30,886 [0x00003e48] [mcuServer] Current transform FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 14.763780
 INFO 2022-01-21 14:44:30,887 [0x00003e48] [mcuServer] Current decoded FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 14.763780
 INFO 2022-01-21 14:44:30,888 [0x00003e48] [mcuServer] Current received FPS from 503fa433-54df-4fa3-9734-1c4b66516615pointcloud#0 is 1000.000000
 INFO 2022-01-21 14:44:30,889 [0x00003e48] [mcuServer] Current transform FPS from 503fa433-54df-4fa3-9734-1c4b66516615 is 0.000000
 INFO 2022-01-21 14:44:30,890 [0x00003e48] [mcuServer] Decoding time from 503fa433-54df-4fa3-9734-1c4b66516615 is 53
 INFO 2022-01-21 14:44:30,891 [0x00003e48] [mcuServer] Decoded pointcloud from 503fa433-54df-4fa3-9734-1c4b66516615 has latency 282
 INFO 2022-01-21 14:44:30,891 [0x00003e48] [mcuServer] Transform time from 503fa433-54df-4fa3-9734-1c4b66516615 is 3
 INFO 2022-01-21 14:44:31,770 [0x00003c7c] [mcuServer] PCDecoder: cwipc_new_decoder created successfully!

 INFO 2022-01-21 14:44:31,863 [0x00003e48] [mcuServer] Decoding time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 48
 INFO 2022-01-21 14:44:31,863 [0x00003e48] [mcuServer] Decoded pointcloud from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 has latency 2040
 INFO 2022-01-21 14:44:31,868 [0x00003e48] [mcuServer] Transform time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 2
 INFO 2022-01-21 14:44:32,858 [0x00003e48] [mcuServer] Decoding time from 503fa433-54df-4fa3-9734-1c4b66516615 is 67
 INFO 2022-01-21 14:44:32,858 [0x000026e4] [mcuServer] Current fusion FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 0.000000
 INFO 2022-01-21 14:44:32,858 [0x00003e48] [mcuServer] Decoded pointcloud from 503fa433-54df-4fa3-9734-1c4b66516615 has latency 308
 INFO 2022-01-21 14:44:32,863 [0x000026e4] [mcuServer] Current sent FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 0.000000
 INFO 2022-01-21 14:44:32,866 [0x00003e48] [mcuServer] Transform time from 503fa433-54df-4fa3-9734-1c4b66516615 is 2
 INFO 2022-01-21 14:44:32,868 [0x000026e4] [mcuServer] Current fusion FPS from 503fa433-54df-4fa3-9734-1c4b66516615 is 0.000000
 INFO 2022-01-21 14:44:32,870 [0x00003e48] [mcuServer] Decoding time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 43
 INFO 2022-01-21 14:44:32,871 [0x000026e4] [mcuServer] Current sent FPS from 503fa433-54df-4fa3-9734-1c4b66516615 is 0.000000
 INFO 2022-01-21 14:44:32,872 [0x00003e48] [mcuServer] Decoded pointcloud from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 has latency 2036
 INFO 2022-01-21 14:44:32,875 [0x00003e48] [mcuServer] Transform time from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 4
 INFO 2022-01-21 14:44:32,877 [0x00003e48] [mcuServer] Current received FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5pointcloud#0 is 15.060242
 INFO 2022-01-21 14:44:32,880 [0x00003e48] [mcuServer] Current transform FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 15.060242
 INFO 2022-01-21 14:44:32,882 [0x00003e48] [mcuServer] Current decoded FPS from f8370e3f-0aaf-4dc9-932a-daffa9a074d5 is 15.060242
 INFO 2022-01-21 14:44:32,883 [0x00003e48] [mcuServer] Current received FPS from 503fa433-54df-4fa3-9734-1c4b66516615pointcloud#0 is 14.558233
 INFO 2022-01-21 14:44:32,885 [0x00003e48] [mcuServer] Current transform FPS from 503fa433-54df-4fa3-9734-1c4b66516615 is 14.558233
 INFO 2022-01-21 14:44:33,851 [0x00003e48] [mcuServer] Transform time from 503fa433-54df-4fa3-9734-1c4b66516615 is 2
 INFO 2022-01-21 14:44:33,851 [0x00003e48] [mcuServer] Decoding time from 503fa433-54df-4fa3-9734-1c4b66516615 is 40
